-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                execute_context_1(1024)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      93.324ms       110.88%      93.324ms      93.324ms             1  
## Call CompiledFxGraph fhqun6te24a3p76mztabvclu5kgl...         0.00%       0.000us         0.00%       0.000us       0.000us      76.855ms        91.31%      76.855ms       5.124ms            15  
                                      vllm::moe_forward         6.45%       6.422ms         9.61%       9.566ms     597.887us      66.931ms        79.52%      71.758ms       4.485ms            16  
                                       fused_moe_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      66.931ms        79.52%      66.931ms       2.092ms            32  
                                               aten::mm         1.14%       1.136ms         1.76%       1.755ms      35.811us       8.946ms        10.63%       8.946ms     182.562us            49  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us       7.869ms         9.35%       7.869ms     245.906us            32  
## Call CompiledFxGraph fflrxe264i47z4p5zi2illhbgkel...         0.00%       0.000us         0.00%       0.000us       0.000us       4.532ms         5.38%       4.532ms       4.532ms             1  
                                       _C::silu_and_mul         0.12%     119.729us         0.23%     233.961us      14.623us       2.284ms         2.71%       2.284ms     142.744us            16  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.284ms         2.71%       2.284ms     142.744us            16  
                                              aten::sum         0.24%     239.169us         0.38%     374.159us      23.385us       2.170ms         2.58%       2.170ms     135.604us            16  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       2.170ms         2.58%       2.170ms     135.604us            16  
                                _vllm_fa2_C::varlen_fwd         0.22%     220.751us         0.58%     580.663us      36.291us       1.850ms         2.20%       1.850ms     115.652us            16  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       1.850ms         2.20%       1.850ms     115.652us            16  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     820.030us         0.97%     820.030us     820.030us             1  
## Call CompiledFxGraph fnihoth7qgwukyoc5syo2b35jfx5...         0.00%       0.000us         0.00%       0.000us       0.000us     452.863us         0.54%     452.863us     452.863us             1  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.25%     248.817us         0.37%     369.018us      23.064us     397.791us         0.47%     397.791us      24.862us            16  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.00%       0.000us         0.00%       0.000us       0.000us     397.791us         0.47%     397.791us      24.862us            16  
