-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        1.269s        99.21%        1.269s       9.996ms           127  
                                       fused_moe_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     822.140ms        64.25%     822.140ms     200.718us          4096  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     384.318ms        30.03%     384.318ms      90.984us          4224  
                                               aten::mm         0.24%       3.086ms         0.32%       4.175ms      32.616us     103.483ms         8.09%     103.483ms     808.460us           128  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      15.402ms         1.20%      15.402ms       7.520us          2048  
                   execute_context_1(1)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      11.671ms         0.91%      11.671ms      11.671ms             1  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       7.595ms         0.59%       7.595ms       3.708us          2048  
void vllm::moe::topkGating<8, 64, 4, 16, 32, int, __...         0.00%       0.000us         0.00%       0.000us       0.000us       6.692ms         0.52%       6.692ms       3.268us          2048  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       6.471ms         0.51%       6.471ms       3.160us          2048  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us       4.652ms         0.36%       4.652ms       2.272us          2048  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_1         0.00%       0.000us         0.00%       0.000us       0.000us       4.184ms         0.33%       4.184ms       2.043us          2048  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us       3.826ms         0.30%       3.826ms       1.868us          2048  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.00%       0.000us         0.00%       0.000us       0.000us       3.793ms         0.30%       3.793ms       1.852us          2048  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.00%       0.000us         0.00%       0.000us       0.000us       3.793ms         0.30%       3.793ms       1.975us          1920  
                                     triton_red_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us       2.835ms         0.22%       2.835ms       1.477us          1920  
                                            aten::copy_         1.15%      14.908ms         2.63%      34.131ms      17.767us       2.308ms         0.18%       2.308ms       1.202us          1921  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us       2.123ms         0.17%       2.123ms       1.036us          2048  
