-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                execute_context_1(1024)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      56.081ms       105.20%      56.081ms      56.081ms             1  
## Call CompiledFxGraph fpkjsmd2ra4xflni5k7t4zmkcuyh...         0.00%       0.000us         0.00%       0.000us       0.000us      48.136ms        90.30%      48.136ms       3.209ms            15  
                                      vllm::moe_forward        17.87%      10.693ms        25.04%      14.985ms     936.554us      35.179ms        65.99%      41.447ms       2.590ms            16  
                                       fused_moe_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      35.179ms        65.99%      35.179ms       1.099ms            32  
                                  _C::cutlass_scaled_mm         1.00%     597.039us         1.84%       1.101ms      34.404us       6.753ms        12.67%       6.753ms     211.024us            32  
void cutlass::Kernel2<enable_sm89_to_sm90<cutlass::g...         0.00%       0.000us         0.00%       0.000us       0.000us       4.866ms         9.13%       4.866ms     304.128us            16  
## Call CompiledFxGraph flt3owkzj4efif4hew6ru5hh6xop...         0.00%       0.000us         0.00%       0.000us       0.000us       2.644ms         4.96%       2.644ms       2.644ms             1  
                                       _C::silu_and_mul         0.18%     108.732us         0.40%     240.347us      15.022us       2.306ms         4.33%       2.306ms     144.102us            16  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.306ms         4.33%       2.306ms     144.102us            16  
                                              aten::sum         0.40%     237.247us         0.66%     392.039us      24.502us       2.083ms         3.91%       2.083ms     130.166us            16  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       2.083ms         3.91%       2.083ms     130.166us            16  
void cutlass::Kernel2<enable_sm89_to_sm90<cutlass::g...         0.00%       0.000us         0.00%       0.000us       0.000us       1.887ms         3.54%       1.887ms     117.920us            16  
                                _vllm_fa2_C::varlen_fwd         0.37%     223.005us         0.95%     566.030us      35.377us       1.815ms         3.40%       1.815ms     113.422us            16  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       1.815ms         3.40%       1.815ms     113.422us            16  
                           _C::dynamic_scaled_fp8_quant         0.33%     196.297us         1.28%     767.166us      23.974us       1.517ms         2.85%       1.517ms      47.412us            32  
                                               aten::mm         0.79%     474.704us         1.15%     687.568us      40.445us       1.111ms         2.08%       1.111ms      65.344us            17  
void vllm::segmented_max_reduction_strided<c10::BFlo...         0.00%       0.000us         0.00%       0.000us       0.000us       1.055ms         1.98%       1.055ms      32.960us            32  
