-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     842.146ms       100.79%     842.146ms       6.631ms           127  
                                       fused_moe_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     481.549ms        57.64%     481.549ms     117.566us          4096  
void cutlass::Kernel2<enable_sm89_to_sm90<cutlass::g...         0.00%       0.000us         0.00%       0.000us       0.000us     153.851ms        18.41%     153.851ms      37.561us          4096  
                                               aten::mm         0.34%       2.945ms         0.48%       4.127ms      32.245us     103.767ms        12.42%     103.767ms     810.679us           128  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     103.767ms        12.42%     103.767ms     810.679us           128  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      15.226ms         1.82%      15.226ms       7.435us          2048  
void vllm::segmented_max_reduction_strided<c10::BFlo...         0.00%       0.000us         0.00%       0.000us       0.000us       9.617ms         1.15%       9.617ms       2.348us          4096  
                   execute_context_1(1)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us       8.045ms         0.96%       8.045ms       8.045ms             1  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       7.385ms         0.88%       7.385ms       3.606us          2048  
void vllm::moe::topkGating<8, 64, 4, 16, 32, int, __...         0.00%       0.000us         0.00%       0.000us       0.000us       6.596ms         0.79%       6.596ms       3.221us          2048  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       6.404ms         0.77%       6.404ms       3.127us          2048  
void vllm::scaled_fp8_quant_kernel_strided_dynamic<c...         0.00%       0.000us         0.00%       0.000us       0.000us       5.660ms         0.68%       5.660ms       1.382us          4096  
triton_red_fused__to_copy_abs_add_clamp_cutlass_scal...         0.00%       0.000us         0.00%       0.000us       0.000us       5.519ms         0.66%       5.519ms       2.874us          1920  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us       4.589ms         0.55%       4.589ms       2.241us          2048  
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us       4.217ms         0.50%       4.217ms       1.029us          4096  
triton_red_fused__to_copy_abs_clamp_cutlass_scaled_m...         0.00%       0.000us         0.00%       0.000us       0.000us       3.812ms         0.46%       3.812ms       1.861us          2048  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.00%       0.000us         0.00%       0.000us       0.000us       3.731ms         0.45%       3.731ms       1.943us          1920  
